seed_a,seed_b,raw_z0,raw_z1,aligned_z0,aligned_z1
25,101,0.9324363436358137,0.7216649824175753,0.9706309891571501,0.9100415051450245
25,202,0.8705671555808018,0.9328650630247584,0.9489673980210505,0.9676466010817167
25,303,0.9692136997249244,0.8891732420393657,0.9690314445907642,0.8993007310876704
25,404,0.9077448347561935,0.9075585558907746,0.9639409377608098,0.9476896013737964
101,202,0.710263241045661,0.5439770030053345,0.9129523718056244,0.9386248586580112
101,303,0.9461836331566358,0.8163165154940674,0.970095710274155,0.9310021243131941
101,404,0.7662112675033246,0.5465592875234571,0.9402283008446785,0.9594623254022454
202,303,0.8405171799616975,0.8337128379237317,0.9494148938368833,0.9088076095269761
202,404,0.9680163534761599,0.9558863153322484,0.9696673847693336,0.9549195326938138
303,404,0.9014848605671406,0.8693048129059034,0.9735742486301594,0.9681222411961685
